[Mon Jul 14 18:28:31 2014] [error] [client 66.249.69.163] (13)Permission denied: file permissions deny server access: /home/mastertranslation/test.mastertranslationservices.com/public_html/sitemap.xml.gz
[Mon Jul 14 18:28:49 2014] [error] [client 66.249.69.163] (13)Permission denied: file permissions deny server access: /home/mastertranslation/test.mastertranslationservices.com/public_html/sitemap.xml.gz
[Mon Jul 14 18:29:09 2014] [error] [client 66.249.69.163] (13)Permission denied: file permissions deny server access: /home/mastertranslation/test.mastertranslationservices.com/public_html/sitemap.xml.gz
[Mon Jul 14 18:30:14 2014] [error] [client 66.249.69.163] (13)Permission denied: file permissions deny server access: /home/mastertranslation/test.mastertranslationservices.com/public_html/sitemap.xml.gz
[Tue Jul 15 00:40:31 2014] [error] [client 66.249.69.19] (13)Permission denied: file permissions deny server access: /home/mastertranslation/test.mastertranslationservices.com/public_html/sitemap.xml.gz
[Tue Jul 15 00:42:30 2014] [error] [client 66.249.69.163] (13)Permission denied: file permissions deny server access: /home/mastertranslation/test.mastertranslationservices.com/public_html/sitemap.xml.gz
[Tue Jul 15 00:42:32 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:33 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:34 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:34 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:35 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:36 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:37 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:37 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:38 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:39 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
[Tue Jul 15 00:42:39 2014] [crit] [client 181.177.155.154] (13)Permission denied: /home/mastertranslation/test.mastertranslationservices.com/public_html/wp-content/uploads/revslider/.htaccess pcfg_openfile: unable to check htaccess file, ensure it is readable, referer: http://test.mastertranslationservices.com/
